P,feature,path,calculations
P1000,Report_未命名_1,P1000/Report_未命名 1,"['max', 'min',]"
P1010,MeasuredData_I_AR1-PPV2_TCU_Raw,P1010/MeasuredData_I_AR1-PPV2_TCU_Raw,"['mean', 'min',]"
P1010,MeasuredData_I_LINE-VTS1_TCU_Raw,P1010/MeasuredData_I_LINE-VTS1_TCU_Raw,"['mean', 'min',]"
P1010,MeasuredData_I_LUB-VTS1_TCU_Raw,P1010/MeasuredData_I_LUB-VTS1_TCU_Raw,"['max', 'mean',]"
P1010,MeasuredData_Pressure_Line_Input_Raw,P1010/MeasuredData_Pressure_Line_Input_Raw,"['max',]"
P1010,MeasuredData_Temperature_Pipe_Raw,P1010/MeasuredData_Temperature_Pipe_Raw,"['max',]"
P1020,MeasuredData_I_LINE-VTS1_TCU_Raw,P1020/MeasuredData_I_LINE-VTS1_TCU_Raw,"['mean',]"
P1020,MeasuredData_Pressure_Clamping_Raw,P1020/MeasuredData_Pressure_Clamping_Raw,"['min',]"
P1020,Report_P1020_I_LINE-VTS1_TCU,P1020/Report_P1020_I_LINE-VTS1_TCU,"['mean',]"
P1020,Report_P1020_Pressure_Line_Input,P1020/Report_P1020_Pressure_Line_Input,"['mean',]"
P1030,MeasuredData_Current_Reference_Raw,P1030/MeasuredData_Current_Reference_Raw,"['mean',]"
P1030,MeasuredData_Pressure_Line_Input_Raw,P1030/MeasuredData_Pressure_Line_Input_Raw,"['mode',]"
P1030,Report_P1030_PI-Characteristic_Falling_Y,P1030/Report_P1030_PI-Characteristic_Falling_Y,"['mean',]"
P1040,MeasuredData_I_ODD-PPV1_TCU_Raw,P1040/MeasuredData_I_ODD-PPV1_TCU_Raw,"['max',]"
P1040,MeasuredData_Pressure_Clamping_Raw,P1040/MeasuredData_Pressure_Clamping_Raw,"['max',]"
P1040,MeasuredData_Pressure_Line_Input_Raw,P1040/MeasuredData_Pressure_Line_Input_Raw,"['min',]"
P1040,MeasuredData_Pressure_Line_Input_Raw,P1040/MeasuredData_Pressure_Line_Input_Raw,"['mode',]"
P1040,Report_P1040_I_ODD-PPV1_TCU,P1040/Report_P1040_I_ODD-PPV1_TCU,"['max',]"
P1050,MeasuredData_Pressure_Line_Input_Raw,P1050/MeasuredData_Pressure_Line_Input_Raw,"['min',]"
P1050,Report_P1050_Pressure-Difference_Falling_Y,P1050/Report_P1050_Pressure-Difference_Falling_Y,"['min',]"
P1060,MeasuredData_Pressure_EVEN_Clutch_Raw,P1060/MeasuredData_Pressure_EVEN_Clutch_Raw,"['max',]"
P1060,MeasuredData_Pressure_Line_Input_Raw,P1060/MeasuredData_Pressure_Line_Input_Raw,"['min',]"
P1060,Report_P1060_P_EVEN-Clutch_TCU,P1060/Report_P1060_P_EVEN-Clutch_TCU,"['min',]"
P1070,Report_P1070_PI-Characteristic_Falling_Y,P1070/Report_P1070_PI-Characteristic_Falling_Y,"['mean',]"
P1090,MeasuredData_Current_Reference_Filter,P1090/MeasuredData_Current_Reference_Filter,"['min',]"
P1090,MeasuredData_Force_1_Filter,P1090/MeasuredData_Force_1_Filter,"['mode',]"
P1090,MeasuredData_I_Act_EVEN-PPV1_Filter,P1090/MeasuredData_I_Act_EVEN-PPV1_Filter,"['max',]"
P1090,MeasuredData_Pressure_Line_Input_Filter,P1090/MeasuredData_Pressure_Line_Input_Filter,"['max',]"
P1090,MeasuredData_Temperature_Pipe_Raw,P1090/MeasuredData_Temperature_Pipe_Raw,"['max',]"
P1090,Report_P1090_Force-Amplitude_Falling_Y,P1090/Report_P1090_Force-Amplitude_Falling_Y,"['max','mean',]"
P1100,MeasuredData_Force_6_Filter,P1100/MeasuredData_Force_6_Filter,"['max','mean',]"
P1100,MeasuredData_Pressure_Clamping_Filter,P1100/MeasuredData_Pressure_Clamping_Filter,"['median',]"
P1100,Report_P1100_FI-Characteristic_Falling_Y,P1100/Report_P1100_FI-Characteristic_Falling_Y,"['min',]"
P1110,MeasuredData_Flow_Clutch_LUB_Raw,P1110/MeasuredData_Flow_Clutch_LUB_Raw,"['max', 'mean', 'mode',]"
P1110,MeasuredData_Pressure_Line_Input_Raw,P1110/MeasuredData_Pressure_Line_Input_Raw,"['max', 'min',]"
P1110,Report_P1110_QI_Curve_Clutch-LUB_Falling_Y,P1110/Report_P1110_QI_Curve_Clutch-LUB_Falling_Y,"['max',]"
P1120,MeasuredData_Pressure_Clamping_Raw,P1120/MeasuredData_Pressure_Clamping_Raw,"['max',]"
P1120,MeasuredData_Pressure_Line_Input_Raw,P1120/MeasuredData_Pressure_Line_Input_Raw,"['min',]"
P1130,MeasuredData_Pressure_Clamping_Raw,P1130/MeasuredData_Pressure_Clamping_Raw,"['max',]"
P1130,MeasuredData_Pressure_Line_Input_Raw,P1130/MeasuredData_Pressure_Line_Input_Raw,"['min',]"
